,,,,,,,Fastq Files,,,Cleaned Reads,,,MEGAHIT,,,,,,,,
host_subject_id,Comprimento médio dos reads (pb),Bases,host_subject_id,env_broad_scale,env_local_scale,env_medium,Bytes,Gb,Reads,Bytes,Reads,% retirada,N50 (resolução),num_seq (Nºtotal de contigs),sum_len (Profundidade),min_len (menor contig montado),avg_len (média do tamanho dos contigs),max_len (Maior contigs montado),Contigs_gt_1kb (Contigs maiores que 1000kb),,
SRR22229384,252,2106677664,HC02,human skin,Ac,missing,955659267,"0,955659267",16719664,,16651050,"0,410379060249058",431,61920,27954498,201,451.5,12827,1377,,
SRR22229385,252,1986617304,HC02,human skin,Ac,missing,905946690,"0,90594669",15766804,,15702206,"0,409708904861125",425,56210,25090142,200,446.4,8720,1106,,
SRR22229411,252,2496560976,HC08,human skin,Ac,missing,1102042361,"1,102042361",19813976,,19484578,"1,66245280603953",603,35449,21452718,269,605.2,24387,3355,,
SRR22229412,252,1871199288,HC08,human skin,Ac,missing,762564680,"0,76256468",14850788,,14672826,"1,19833371804917",595,28466,17018745,273,597.9,10965,2693,,
SRR22229445,252,329355936,AD16,human skin,Ac,missing,156322450,"0,15632245",2613936,,2507332,"4,0782941892992",3141,2544,3141443,273,1234.8,17952,697,,
SRR22229446,252,86806692,AD16,human skin,Ac,missing,43257651,"0,043257651",688942,,656576,"4,69792812747662",411,1768,746105,201,422.0,7419,12,,
SRR22229447,252,283280760,AD16,human skin,Ac,missing,131547697,"0,131547697",2248260,,2117806,"5,80244277797052",1467,2507,2569174,299,1024.8,9689,872,,
SRR22229448,252,76887216,AD16,human skin,Ac,missing,37640406,"0,037640406",610216,,566586,"7,14992723887935",305,1347,423403,237,314.3,1083,1,,
SRR22229475,252,680055012,HC01,human skin,Ac,missing,297896557,"0,297896557",5397262,,5340694,"1,04808697446965",379,1022,404831,205,396.1,2356,20,,
SRR22229476,252,790061328,HC01,human skin,Ac,missing,348617409,"0,348617409",6270328,,6207098,"1,00840019852231",378,1440,584788,200,406.1,3806,29,,
SRR22229477,252,2525659416,HC01,human skin,Ac,missing,1144698975,"1,144698975",20044916,,19800568,"1,21900236448983",512,11979,6214276,269,518.8,12381,673,,
SRR22230717,252,1261741824,HC09,human skin,Ac,missing,563401984,"0,563401984",10013824,,9929440,"0,842675085961167",505,13165,6767560,269,514.1,4712,759,,
SRR22230718,252,1288778652,HC09,human skin,Ac,missing,577061269,"0,577061269",10228402,,10142394,"0,840874263643529",507,13600,6972067,269,512.7,7403,777,,
SRR22230719,252,1298898468,HC09,human skin,Ac,missing,600675048,"0,600675048",10308718,,10233844,"0,726317278249342",510,13735,7077455,269,515.3,5063,800,,
SRR22230720,252,5399599464,HC09,human skin,Ac,missing,2373543837,"2,373543837",42853964,,42589842,"0,61633038194553",636,49337,31263870,269,633.7,84643,4598,,
SRR22230737,252,96588324,AD16,human skin,Ac,missing,45295929,"0,045295929",766574,,726526,"5,22428363080407",1064,3384,2735387,273,808.3,7461,834,,
SRR22230738,252,90164088,AD16,human skin,Ac,missing,41732037,"0,041732037",715588,,678512,"5,18119364774144",962,3387,2584317,269,763.0,7461,756,,
SRR22230739,252,386154720,AD16,human skin,Ac,missing,177258863,"0,177258863",3064720,,2924724,"4,56798663499439",740,11375,8212509,272,722.0,94560,851,,
SRR22230740,252,101965500,AD16,human skin,Ac,missing,45871744,"0,045871744",809250,,763714,"5,62693852332407",628,5704,3344550,279,586.4,5963,560,,
SRR22230741,252,100307340,AD16,human skin,Ac,missing,45508429,"0,045508429",796090,,749312,"5,87596879749777",608,5762,3282320,297,569.6,3678,501,,
SRR22230766,252,34214544,AD16,human skin,Ac,missing,15430011,"0,015430011",271544,,251020,"7,55825943493504",492,2284,1141258,270,499.7,7461,92,,
SRR22230767,252,31972500,AD16,human skin,Ac,missing,14451476,"0,014451476",253750,,234140,"7,72807881773399",482,2030,980612,233,483.1,7461,53,,
SRR22230768,252,111920004,AD16,human skin,Ac,missing,51432971,"0,051432971",888254,,821220,"7,54671524136114",2006,3801,3667295,273,964.8,13470,793,,
SRR22230769,252,40485312,AD16,human skin,Ac,missing,18502179,"0,018502179",321312,,295342,"8,08248680410318",410,1406,598209,273,425.5,2102,14,,
SRR22230770,252,38345076,AD16,human skin,Ac,missing,17576548,"0,017576548",304326,,278780,"8,39428770463253",399,1181,495825,270,419.8,2935,13,,
SRR22230791,252,270183816,AD16,human skin,Ac,missing,119532792,"0,119532792",2144316,,2080648,"2,96915193469619",645,8302,5308277,285,639.4,12900,945,,
SRR22230792,252,266371560,AD16,human skin,Ac,missing,117582842,"0,117582842",2114060,,2058010,"2,65129655733518",625,8392,5278501,281,629.0,11485,931,,
SRR22230793,252,630688464,AD16,human skin,Ac,missing,311965873,"0,311965873",5005464,,4856040,"2,98521775403839",781,13437,9665261,274,719.3,42714,1606,,
SRR22230794,252,522640692,AD16,human skin,Ac,missing,244275103,"0,244275103",4147942,,4058994,"2,14438871131756",750,12128,8523241,270,702.8,27088,1337,,
SRR22230815,252,1918113372,AD20,human skin,Ac,missing,827977905,"0,827977905",15223122,,15185056,"0,250053832584407",1990,4454,3908443,228,877.5,22143,760,,
SRR22230816,252,1712746224,AD20,human skin,Ac,missing,709132471,"0,709132471",13593224,,13561938,"0,230158790879927",2204,3494,3516062,270,1006.3,24094,812,,
SRR22230817,252,1379449512,AD20,human skin,Ac,missing,644218175,"0,644218175",10948012,,10868316,"0,727949512660381",1489,5712,4847454,271,848.6,36063,645,,
SRR22230818,252,1166462640,AD20,human skin,Ac,missing,517903907,"0,517903907",9257640,,9218290,"0,425054333501843",2084,4755,4292935,270,902.8,31755,678,,
SRR22231184,252,746058852,AD20,human skin,Ac,missing,334881998,"0,334881998",5921102,,5820748,"1,69485342424434",5474,2135,3184756,273,1491.7,37272,506,,
SRR22231185,252,687905820,AD20,human skin,Ac,missing,300914396,"0,300914396",5459570,,5368076,"1,67584626628104",4781,1984,3082028,273,1553.4,23177,566,,
SRR22231186,252,73567116,AD20,human skin,Ac,missing,36125954,"0,036125954",583866,,475370,"18,5823459492418",251,400,126512,200,316.3,7488,4,,
SRR22231187,252,76335588,AD20,human skin,Ac,missing,38037832,"0,038037832",605838,,491396,"18,8898682486077",260,491,151044,200,307.6,7488,4,,
SRR22231218,252,245210616,AD20,human skin,Ac,missing,114117710,"0,11411771",1946116,,1820714,"6,44370633610741",422,2003,889611,234,444.1,7635,20,,
SRR22231219,252,237274380,AD20,human skin,Ac,missing,109328130,"0,10932813",1883130,,1783792,"5,27515360065423",424,1946,870694,201,447.4,7635,13,,
SRR22231220,252,207787356,AD20,human skin,Ac,missing,76745136,"0,076745136",1649106,,1628364,"1,25777239304205",488,2899,1426926,207,492.2,7570,64,,
SRR22231221,252,322387884,AD20,human skin,Ac,missing,128469799,"0,128469799",2558634,,2514282,"1,7334249447166",785,3338,2296398,276,688.0,7570,562,,
SRR22231222,252,433026468,AD20,human skin,Ac,missing,184260427,"0,184260427",3436718,,3344096,"2,69507128603511",1216,3022,2709555,234,896.6,7528,887,,
SRR22231247,252,1749952260,AD20,human skin,Ac,missing,875129490,"0,87512949",13888510,,13729834,"1,14249836735546",5598,4188,4358341,276,1040.7,53472,368,,
SRR22231248,252,1551233880,AD20,human skin,Ac,missing,726040858,"0,726040858",12311380,,12215184,"0,781358385493746",6673,3883,4162364,277,1071.9,80848,355,,
SRR22231249,252,790475364,AD20,human skin,Ac,missing,368486984,"0,368486984",6273614,,6141370,"2,10793969791575",6853,1804,3119472,279,1729.2,36168,454,,
SRR22231250,252,744427908,AD20,human skin,Ac,missing,339273098,"0,339273098",5908158,,5786410,"2,06067610243328",6954,1679,3043378,287,1812.6,41476,483,,
SRR22231275,252,196281540,AD23,human skin,Ac,missing,74604347,"0,074604347",1557790,,1538874,"1,21428433871061",365,685,258018,200,376.7,961,0,,
